State,date,indicator,deaths,State Name
US,Jun-2019,Number of Deaths,2833621,United States
US,May-2019,Number of Deaths,2828659,United States
US,Apr-2019,Number of Deaths,2820844,United States
US,Dec-2017,Number of Deaths,2820034,United States
US,Mar-2019,Number of Deaths,2819024,United States
US,Nov-2018,Number of Deaths,2818743,United States
US,Jan-2019,Number of Deaths,2817917,United States
US,Oct-2018,Number of Deaths,2816172,United States
US,Aug-2018,Number of Deaths,2814821,United States
US,Sep-2018,Number of Deaths,2813340,United States
US,Feb-2019,Number of Deaths,2813264,United States
US,Jul-2018,Number of Deaths,2812332,United States
US,Nov-2017,Number of Deaths,2810357,United States
US,Feb-2018,Number of Deaths,2809698,United States
US,Dec-2018,Number of Deaths,2809411,United States
US,Jun-2018,Number of Deaths,2808999,United States
US,Apr-2018,Number of Deaths,2808395,United States
US,May-2018,Number of Deaths,2807651,United States
US,Mar-2018,Number of Deaths,2806918,United States
US,Oct-2017,Number of Deaths,2806663,United States
US,Jan-2018,Number of Deaths,2806321,United States
US,Sep-2017,Number of Deaths,2804356,United States
US,Aug-2017,Number of Deaths,2798375,United States
US,Jul-2017,Number of Deaths,2796333,United States
US,Jun-2017,Number of Deaths,2794038,United States
US,May-2017,Number of Deaths,2788083,United States
US,Apr-2017,Number of Deaths,2782927,United States
US,Mar-2017,Number of Deaths,2778264,United States
US,Feb-2017,Number of Deaths,2770741,United States
US,Jan-2017,Number of Deaths,2766974,United States
US,Dec-2016,Number of Deaths,2749864,United States
US,Nov-2016,Number of Deaths,2734397,United States
US,Oct-2015,Number of Deaths,2729315,United States
US,Nov-2015,Number of Deaths,2727809,United States
US,Oct-2016,Number of Deaths,2726854,United States
US,Sep-2015,Number of Deaths,2723893,United States
US,Sep-2016,Number of Deaths,2721441,United States
US,Aug-2015,Number of Deaths,2719206,United States
US,Dec-2015,Number of Deaths,2718198,United States
US,Aug-2016,Number of Deaths,2716965,United States
US,Jul-2015,Number of Deaths,2712688,United States
US,Jul-2016,Number of Deaths,2711484,United States
US,Jun-2016,Number of Deaths,2708788,United States
US,May-2016,Number of Deaths,2706928,United States
US,Apr-2016,Number of Deaths,2705990,United States
US,Jun-2015,Number of Deaths,2704994,United States
US,Mar-2016,Number of Deaths,2703203,United States
US,Feb-2016,Number of Deaths,2701647,United States
US,Jan-2016,Number of Deaths,2698635,United States
US,May-2015,Number of Deaths,2698421,United States
US,Apr-2015,Number of Deaths,2691628,United States
US,Mar-2015,Number of Deaths,2682744,United States
US,Feb-2015,Number of Deaths,2668442,United States
US,Jan-2015,Number of Deaths,2653334,United States
CA,Dec-2017,Number of Deaths,269377,California
CA,Mar-2018,Number of Deaths,268842,California
CA,Apr-2018,Number of Deaths,268601,California
CA,Aug-2018,Number of Deaths,268445,California
CA,Jun-2019,Number of Deaths,268388,California
CA,Nov-2017,Number of Deaths,268369,California
CA,Oct-2017,Number of Deaths,268366,California
CA,May-2018,Number of Deaths,268142,California
CA,Sep-2017,Number of Deaths,268090,California
CA,Jul-2018,Number of Deaths,268012,California
CA,Nov-2018,Number of Deaths,267929,California
CA,Jun-2018,Number of Deaths,267863,California
CA,May-2019,Number of Deaths,267824,California
CA,Sep-2018,Number of Deaths,267692,California
CA,Feb-2018,Number of Deaths,267456,California
CA,Jul-2017,Number of Deaths,267372,California
CA,Aug-2017,Number of Deaths,267347,California
CA,Jan-2018,Number of Deaths,267274,California
CA,Oct-2018,Number of Deaths,267208,California
CA,Apr-2019,Number of Deaths,266982,California
CA,Jun-2017,Number of Deaths,266897,California
CA,Feb-2019,Number of Deaths,266767,California
CA,Jan-2019,Number of Deaths,266585,California
CA,Mar-2019,Number of Deaths,266548,California
CA,Dec-2018,Number of Deaths,266069,California
CA,May-2017,Number of Deaths,265953,California
CA,Jan-2017,Number of Deaths,265340,California
CA,Apr-2017,Number of Deaths,265286,California
CA,Feb-2017,Number of Deaths,264889,California
CA,Mar-2017,Number of Deaths,264767,California
CA,Dec-2016,Number of Deaths,263199,California
CA,Oct-2016,Number of Deaths,262751,California
CA,Nov-2016,Number of Deaths,262360,California
CA,Sep-2016,Number of Deaths,262041,California
CA,Aug-2016,Number of Deaths,261781,California
CA,Jul-2016,Number of Deaths,261603,California
CA,Apr-2016,Number of Deaths,261595,California
CA,May-2016,Number of Deaths,261557,California
CA,Jun-2016,Number of Deaths,261467,California
CA,Mar-2016,Number of Deaths,261416,California
CA,Feb-2016,Number of Deaths,260508,California
CA,Dec-2015,Number of Deaths,260172,California
CA,Jan-2016,Number of Deaths,259303,California
CA,Nov-2015,Number of Deaths,258808,California
CA,Oct-2015,Number of Deaths,257750,California
CA,Sep-2015,Number of Deaths,257163,California
CA,Aug-2015,Number of Deaths,256464,California
CA,Jul-2015,Number of Deaths,255417,California
CA,Jun-2015,Number of Deaths,254838,California
CA,May-2015,Number of Deaths,253858,California
CA,Apr-2015,Number of Deaths,252831,California
CA,Mar-2015,Number of Deaths,251540,California
CA,Feb-2015,Number of Deaths,249920,California
CA,Jan-2015,Number of Deaths,248191,California
FL,Jun-2019,Number of Deaths,207613,Florida
FL,May-2019,Number of Deaths,207165,Florida
FL,Jul-2018,Number of Deaths,207040,Florida
FL,Jun-2018,Number of Deaths,206712,Florida
FL,Aug-2018,Number of Deaths,206661,Florida
FL,May-2018,Number of Deaths,206441,Florida
FL,Mar-2018,Number of Deaths,206409,Florida
FL,Feb-2018,Number of Deaths,206378,Florida
FL,Apr-2018,Number of Deaths,206377,Florida
FL,Sep-2018,Number of Deaths,206344,Florida
FL,Apr-2019,Number of Deaths,206300,Florida
FL,Dec-2017,Number of Deaths,206171,Florida
FL,Jan-2019,Number of Deaths,206147,Florida
FL,Oct-2018,Number of Deaths,205989,Florida
FL,Nov-2018,Number of Deaths,205739,Florida
FL,Jan-2018,Number of Deaths,205653,Florida
FL,Dec-2018,Number of Deaths,205634,Florida
FL,Mar-2019,Number of Deaths,205575,Florida
FL,Feb-2019,Number of Deaths,205528,Florida
FL,Nov-2017,Number of Deaths,205023,Florida
FL,Oct-2017,Number of Deaths,204665,Florida
FL,Sep-2017,Number of Deaths,203978,Florida
TX,Jun-2019,Number of Deaths,203135,Texas
TX,Aug-2018,Number of Deaths,203127,Texas
TX,Sep-2018,Number of Deaths,203025,Texas
FL,Aug-2017,Number of Deaths,202940,Florida
TX,Nov-2018,Number of Deaths,202891,Texas
TX,Jul-2018,Number of Deaths,202779,Texas
TX,May-2019,Number of Deaths,202688,Texas
TX,Oct-2018,Number of Deaths,202677,Texas
TX,Jun-2018,Number of Deaths,202511,Texas
FL,Jul-2017,Number of Deaths,202400,Florida
TX,Apr-2019,Number of Deaths,202327,Texas
FL,Jun-2017,Number of Deaths,202314,Florida
TX,Apr-2018,Number of Deaths,202312,Texas
TX,Feb-2018,Number of Deaths,202281,Texas
TX,May-2018,Number of Deaths,202261,Texas
TX,Dec-2018,Number of Deaths,202139,Texas
TX,Mar-2018,Number of Deaths,202101,Texas
TX,Jan-2019,Number of Deaths,201886,Texas
TX,Mar-2019,Number of Deaths,201882,Texas
FL,May-2017,Number of Deaths,201706,Florida
TX,Jan-2018,Number of Deaths,201606,Texas
FL,Apr-2017,Number of Deaths,201341,Florida
TX,Feb-2019,Number of Deaths,201136,Texas
FL,Jan-2017,Number of Deaths,200883,Florida
FL,Mar-2017,Number of Deaths,200881,Florida
TX,Dec-2017,Number of Deaths,200830,Texas
FL,Feb-2017,Number of Deaths,200708,Florida
FL,Dec-2016,Number of Deaths,199964,Florida
TX,Nov-2017,Number of Deaths,199279,Texas
FL,Nov-2016,Number of Deaths,199256,Florida
TX,Oct-2017,Number of Deaths,198519,Texas
FL,Oct-2016,Number of Deaths,198220,Florida
TX,Sep-2017,Number of Deaths,197641,Texas
FL,Sep-2016,Number of Deaths,197602,Florida
FL,Aug-2016,Number of Deaths,197300,Florida
TX,Aug-2017,Number of Deaths,197234,Texas
TX,Jun-2017,Number of Deaths,197112,Texas
TX,May-2017,Number of Deaths,197098,Texas
TX,Jul-2017,Number of Deaths,197084,Texas
TX,Apr-2017,Number of Deaths,196770,Texas
FL,Jul-2016,Number of Deaths,196733,Florida
TX,Mar-2017,Number of Deaths,196668,Texas
FL,Jun-2016,Number of Deaths,196273,Florida
FL,May-2016,Number of Deaths,196050,Florida
TX,Feb-2017,Number of Deaths,195999,Texas
FL,Apr-2016,Number of Deaths,195883,Florida
TX,Jan-2017,Number of Deaths,195740,Texas
FL,Oct-2015,Number of Deaths,195599,Florida
FL,Nov-2015,Number of Deaths,195311,Florida
FL,Mar-2016,Number of Deaths,195215,Florida
FL,Sep-2015,Number of Deaths,195097,Florida
TX,Dec-2016,Number of Deaths,194843,Texas
TX,Nov-2016,Number of Deaths,194403,Texas
FL,Feb-2016,Number of Deaths,194386,Florida
FL,Aug-2015,Number of Deaths,194364,Florida
FL,Dec-2015,Number of Deaths,194297,Florida
TX,Oct-2016,Number of Deaths,193951,Texas
FL,Jul-2015,Number of Deaths,193875,Florida
FL,Jan-2016,Number of Deaths,193810,Florida
TX,Sep-2016,Number of Deaths,193407,Texas
FL,Jun-2015,Number of Deaths,193387,Florida
FL,May-2015,Number of Deaths,193067,Florida
TX,Oct-2015,Number of Deaths,192890,Texas
TX,Aug-2016,Number of Deaths,192780,Texas
TX,Nov-2015,Number of Deaths,192655,Texas
TX,Sep-2015,Number of Deaths,192514,Texas
TX,Dec-2015,Number of Deaths,192423,Texas
FL,Apr-2015,Number of Deaths,192268,Florida
TX,Aug-2015,Number of Deaths,192231,Texas
TX,Jul-2016,Number of Deaths,192225,Texas
TX,Jun-2016,Number of Deaths,191872,Texas
FL,Mar-2015,Number of Deaths,191745,Florida
TX,Jul-2015,Number of Deaths,191726,Texas
TX,May-2016,Number of Deaths,191348,Texas
TX,Apr-2016,Number of Deaths,191242,Texas
TX,Feb-2016,Number of Deaths,191128,Texas
TX,Mar-2016,Number of Deaths,190919,Texas
TX,Jun-2015,Number of Deaths,190805,Texas
FL,Feb-2015,Number of Deaths,190591,Florida
TX,Jan-2016,Number of Deaths,190544,Texas
TX,May-2015,Number of Deaths,190366,Texas
TX,Apr-2015,Number of Deaths,189620,Texas
FL,Jan-2015,Number of Deaths,189170,Florida
TX,Mar-2015,Number of Deaths,188941,Texas
TX,Feb-2015,Number of Deaths,188094,Texas
TX,Jan-2015,Number of Deaths,187532,Texas
PA,Sep-2017,Number of Deaths,137438,Pennsylvania
PA,Jun-2017,Number of Deaths,137317,Pennsylvania
PA,Jul-2017,Number of Deaths,137299,Pennsylvania
PA,Aug-2017,Number of Deaths,137294,Pennsylvania
PA,Oct-2017,Number of Deaths,137236,Pennsylvania
PA,Dec-2017,Number of Deaths,136986,Pennsylvania
PA,Nov-2017,Number of Deaths,136963,Pennsylvania
PA,May-2017,Number of Deaths,136818,Pennsylvania
PA,Apr-2017,Number of Deaths,136404,Pennsylvania
PA,Mar-2017,Number of Deaths,136252,Pennsylvania
PA,Jan-2018,Number of Deaths,135750,Pennsylvania
PA,Feb-2017,Number of Deaths,135703,Pennsylvania
PA,Feb-2018,Number of Deaths,135654,Pennsylvania
PA,Jan-2017,Number of Deaths,135315,Pennsylvania
PA,Apr-2018,Number of Deaths,135299,Pennsylvania
